bleu,bertscore,bertscore_p,bertscore_r,IoU,Coverage (target words),delta,word
0.0,0.6699608564376831,0.6995412111282349,0.6427806615829468,1.0,1.0,0,meri-tie
0.06567274736060395,0.6406590342521667,0.6326061487197876,0.6489195823669434,1.0,1.0,0,laukka
0.0,0.6568247079849243,0.6217880249023438,0.6960456371307373,1.0,1.0,0,mäntätä
0.04767707020457095,0.6861215233802795,0.6673661470413208,0.7059615850448608,1.0,1.0,0,ajaminen
0.0,0.5982587039470673,0.5676144659519196,0.6326733529567719,1.0,1.0,0,estää
0.09165830984646832,0.6846581399440765,0.6781988143920898,0.6914924383163452,1.0,1.0,0,perus
0.0,0.6025707721710205,0.5955182313919067,0.6097923517227173,1.0,1.0,0,korjata
0.0,0.6865797638893127,0.6514138579368591,0.7257590889930725,1.0,1.0,0,kiinni-paneminen
0.06567274736060395,0.6759032607078552,0.6733192205429077,0.6785072088241577,1.0,1.0,0,kaakottaa
0.16784459625186193,0.6593601107597351,0.63843834400177,0.6816994547843933,1.0,1.0,0,jakamaton
0.13835158948163134,0.7186244428157806,0.7162927389144897,0.7209818363189697,1.0,1.0,0,perkaaminen
0.05522397783539471,0.630874752998352,0.6370545625686646,0.6248136758804321,1.0,1.0,0,kiinni-pitää
0.03747776736677921,0.6873963475227356,0.6888755559921265,0.6859234571456909,1.0,1.0,0,pois-sysätä
0.09535414040914192,0.7039021253585815,0.6708532571792603,0.7403759360313416,1.0,1.0,0,kipeästi
0.017470495463726723,0.6992271542549133,0.7386333495378494,0.6672983169555664,1.0,1.0,0,pari
0.0,0.6619632244110107,0.6678184270858765,0.6562098264694214,1.0,1.0,0,nuoruus
0.02080246760171727,0.6689526736736298,0.6551385521888733,0.6844600737094879,1.0,1.0,0,pohja
0.05276335157968159,0.6764523386955261,0.6759775876998901,0.6774565279483795,1.0,1.0,0,hedelmöitsevä
0.018738883683389607,0.6698646545410156,0.6467697322368622,0.6947777271270752,1.0,1.0,0,palkitseminen
0.04767707020457095,0.6595770120620728,0.6478923559188843,0.671690821647644,1.0,1.0,0,käsi-kirja
0.04065425428798724,0.6520114243030548,0.6341953277587891,0.6708660125732422,1.0,1.0,0,omistaminen
0.06567274736060395,0.6221641302108765,0.6441303491592407,0.6016466617584229,1.0,1.0,0,kuolettaa
0.0,0.6109554767608643,0.5994857549667358,0.6228725910186768,1.0,1.0,0,paska
0.01623339577375495,0.6677474617958069,0.6579910159111023,0.6797077536582947,1.0,1.0,0,pitkä
